data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
9800671,376,ISR13616,13616,2023-01-27,2023,1,Protests,Peaceful protest,Protesters (Israel),Former Government of Israel (2022-); Likud Party,6,,,0,60,Middle East,Israel,Jerusalem,Jerusalem,Judean Mountains,Jerusalem - Givat Ram,31.7833,35.2000,1,Arutz Sheva; N12,National,"On 27 January 2023, hundreds of left-wing activists protested against the proposed judicial reforms by the Netanyahu-led government in front of the Supreme Court in Jerusalem - Givat Ram (Judean Mountains). Former Likud lawmaker and Justice Minister Dan Meridor participated in the protest. During the protest, an altercation between a protester and a right-wing activist took place. Police intervened and no instances of violence were reported. [size=hundreds]",0,1675094683,ISR
9800672,376,ISR13617,13617,2023-01-27,2023,1,Protests,Peaceful protest,Protesters (Israel),,6,,,0,60,Middle East,Israel,Tel Aviv,Tel Aviv,Tel Aviv,Ramat Hasharon,32.1461,34.8394,1,Walla!News,National,"On 27 January 2023, dozens of residents protested in Ramat Hasharon (Tel Aviv) outside of the house of a man who allegedly raped his sister for 15 years, calling on the man to leave the city. [size=dozens]",0,1675094683,ISR
9800674,376,ISR13619,13619,2023-01-27,2023,2,Protests,Peaceful protest,Protesters (Israel),,6,,,0,60,Middle East,Israel,HaMerkaz,Sharon,Western Sharon,Netanya,32.3329,34.8599,1,Mynet,National,"Around 27 January 2023, a group of surfers protested in Netanya (Sharon, HaMerkaz) against the municipality's decision to close down the 'Bamboo Surf' shop on the beach. [size=no report]",0,1675094683,ISR
9800676,376,ISR13621,13621,2023-01-27,2023,1,Protests,Protest with intervention,Protesters (Israel),Arab Ethnic Group (Israel),6,Police Forces of Israel (2022-),,1,16,Middle East,Israel,Haifa,Haifa,Haifa,Haifa,32.8184,34.9885,1,Israel Hayom,National,"On 27 January 2023, about 100 Israeli Arabs protested in Haifa city against Israeli military operations in the West Bank, specifically against the killing of 9 Palestinians during a recent military operation in the Jenin refugee camp. Some protesters waved Palestinian flags. Israeli police forces detained six protesters for 'violating public order' after they refused police orders to take down the flags. [size=about 100]",0,1675094683,ISR
9800681,376,ISR13626,13626,2023-01-27,2023,1,Protests,Peaceful protest,Protesters (Israel),Arab Ethnic Group (Israel),6,,,0,60,Middle East,Israel,HaZafon,Akko,Shefaram,Tamra,32.8530,35.1987,1,Palestine News and Information Agency,Regional,"On 27 January 2023, Israeli Arabs protested in Tamra (Akko, HaZafon) against the killing of 9 Palestinians during the military operation in the Jenin refugee camp, calling for ending the occupation. [size=no report]",0,1675094683,ISR
9800686,400,JOR2240,2240,2023-01-27,2023,1,Protests,Peaceful protest,Protesters (Jordan),Muslim Group (Jordan); IAF: Islamic Action Front,6,,,0,60,Middle East,Jordan,Amman,Qasabat Amman,,Amman,31.9552,35.9450,1,Ammon News; Jo 24,National,"On 27 January 2023, thousands of protesters gathered after Friday prayers outside Al Husayni Mosque in Amman (Qasabat Amman), to demonstrate against Israeli aggression against Palestinians, after Israeli forces raided Jenin where several Palestinians were killed and injured during clashes. [size=thousands]",0,1675094683,JOR
9800703,422,LBN14392,14392,2023-01-27,2023,1,Protests,Peaceful protest,Protesters (Lebanon),Labour Group (Lebanon),6,,,0,60,Middle East,Lebanon,South,Sayda,,Sidon,33.5599,35.3756,1,El Nashra,National,"On 27 January 2023, taxi drivers held a protest at the Iliya junction in Sidon (Sayda). Sporadic demonstrations were observed, against the worsening living and economic conditions, and the record depreciation of the national currency against the US dollar. The protesters parked their cars and demonstrated without blocking the road. [size=no report]",0,1675094683,LBN
9800704,422,LBN14393,14393,2023-01-27,2023,1,Protests,Peaceful protest,Protesters (Lebanon),Labour Group (Lebanon); CGTL: General Confederation of Lebanese Workers,6,,,0,60,Middle East,Lebanon,Beirut,Beirut,,Beirut - Mousseitbeh,33.8786,35.4907,1,El Nashra,National,"On 27 January 2023, mechanical inspection unionists and workers held a protest outside the Ministry of Interior and stood on the Sanayeh road in Beirut - Mousseitbeh (Beirut) to block it. The demonstrators demanded the implementation of the bidding process promised by the minister of interior. The bidding process will allow the mechanical inspection headquarters to open after it was closed for 9 months. The General Secretary of the CGTL attended the protest. [size=no report]",0,1675094683,LBN
9800708,422,LBN14397,14397,2023-01-27,2023,1,Protests,Peaceful protest,Protesters (Lebanon),Muslim Group (Lebanon),6,,,0,60,Middle East,Lebanon,South,Sayda,,Sidon,33.5599,35.3756,1,El Nashra,National,"On 27 January 2023, protesters including relatives of the Aabra incident detainees and the Bilal Bin Rabah mosque group gathered outside the Bahaa din Hariri Mosque, then marched the seaside road in Sidon (Sayda), in protest against the continued imprisonment of individuals who participated in the Aabra incidents. The protesters demanded their immediate release. [size=no report]",0,1675094683,LBN
9800709,422,LBN14398,14398,2023-01-27,2023,1,Protests,Peaceful protest,Protesters (Lebanon),Muslim Group (Lebanon),6,,,0,60,Middle East,Lebanon,Beirut,Beirut,,Beirut - Port,33.8982,35.5074,1,Naharnet,National,"On 27 January 2023, about 200 protesters held a demonstration outside the Mohammad al Amin Mosque in Beirut - Port (Beirut), to denounce the desecration of the Quran in Sweden and Netherlands. The protesters burned both Swedish and Dutch flags. [size=about 200]",0,1675094683,LBN
9800721,422,LBN14410,14410,2023-01-27,2023,1,Protests,Peaceful protest,Protesters (Lebanon),Teachers (Lebanon),6,,,0,60,Middle East,Lebanon,Baalbek-Hermel,Baalbek,,Douris,33.9878,36.1792,1,El Nashra,National,"On 27 January 2023, public school teachers and committee officials, held a protest outside the educational zone in Douris (Baalbek), to demand teachers' working rights including a correction of their salaries, medical care and a transportation allowance, amid worsening living and economic conditions. [size=no report]",0,1675094683,LBN
9800727,422,LBN14416,14416,2023-01-27,2023,1,Protests,Peaceful protest,Protesters (Lebanon),Teachers (Lebanon); Students (Lebanon); Labour Group (Lebanon); Government of Lebanon (2021-),6,,,0,60,Middle East,Lebanon,Baalbek-Hermel,Al Hermel,,Al Hermel,34.3942,36.3847,1,El Nashra,National,"On 27 January 2023, protesters including unionists, teachers, students, Makhatir (village head) and municipal unions, held a mass rally from the municipality towards the government serail in Al Hermel (Al Hermel), to demand teachers' working rights including a correction of their salaries, medical care and a transportation allowance, amid worsening living and economic conditions. [size=no report]",0,1675094683,LBN
9800728,422,LBN14417,14417,2023-01-27,2023,1,Protests,Peaceful protest,Protesters (Lebanon),Women (Lebanon),6,,,0,60,Middle East,Lebanon,Baalbek-Hermel,Baalbek,,Baalbek,34.0058,36.2181,1,Murr TV,National,"On 27 January 2023, townspeople including family and women's committees held a protest at the southern entrance of Baalbek (Baalbek). Sporadic demonstrations were observed, against the worsening living and economic conditions, and the record depreciation of the national currency against the US dollar. [size=no report]",0,1675094683,LBN
9800772,422,LBN14461,14461,2023-01-27,2023,1,Protests,Peaceful protest,Protesters (Lebanon),,6,,,0,60,Middle East,Lebanon,Akkar,Akkar,,El Mhammara,34.5044,35.9708,1,Murr TV,National,"On 27 January 2023, protesters used rocks and their cars to block the international highway in El Mhammara (Akkar). Sporadic demonstrations were observed, against the worsening living and economic conditions, and the record depreciation of the national currency against the US dollar. [size=no report]",0,1675094683,LBN
9800904,275,PSE31197,31197,2023-01-27,2023,1,Protests,Peaceful protest,Protesters (Palestine),Muslim Group (Palestine),6,,,0,60,Middle East,Palestine,West Bank,Al Quds,,Al Khan al Ahmar,31.7921,35.3365,1,Palestine News and Information Agency,National,"On 27 January 2023, Palestinian worshipers performed the Friday prayers in Al Khan al Ahmar (Al Quds, West Bank) and protested against the Israeli plans to demolish the village and displace its residents. [size=no report]",0,1675094683,PSE
9800905,275,PSE31198,31198,2023-01-27,2023,1,Protests,Peaceful protest,Protesters (Palestine),Muslim Group (Palestine),6,,,0,60,Middle East,Palestine,West Bank,Al Quds,,Al Quds - Old City,31.7767,35.2342,1,Dunia Al Watan; Ma'an News Agency; Palestine News and Information Agency; Quds News Network; Twitter,New media-National,"On 27 January 2023, Palestinian worshipers performed the Friday prayers in Al Khan al Aqsa mosque in Al Quds - Old City (Al Quds, West Bank) and protested against the Israeli military operation in the West Bank and the killing of 9 persons in Jenin refugee camp. [size=no report]",0,1675094683,PSE
9800910,275,PSE31203,31203,2023-01-27,2023,1,Protests,Protest with intervention,Protesters (Palestine),,6,Military Forces of Israel (2022-),,8,68,Middle East,Palestine,Gaza Strip,Gaza City,,Gaza,31.5000,34.4667,2,Ma'an News Agency; Palestine News and Information Agency,National,"On 27 January 2023, Israeli military forces positioned on the security fence fired rubber bullets and tear gas canisters toward Palestinians in Malaka area east of Gaza City (Gaza Strip), who were protesting the killing of 9 persons in Jenin refugee camp. [size=no report]",0,1675094683,PSE
9800911,275,PSE31204,31204,2023-01-27,2023,1,Protests,Protest with intervention,Protesters (Palestine),,6,Military Forces of Israel (2022-),,8,68,Middle East,Palestine,Gaza Strip,Deir El Balah,,Al Burayj,31.4394,34.4031,2,Ma'an News Agency; Palestine News and Information Agency,National,"On 27 January 2023, Israeli military forces positioned on the security fence fired rubber bullets and tear gas canisters toward Palestinians east of Al Burayj (Deir El Balah, Gaza Strip), who were protesting the killing of 9 persons in Jenin refugee camp. [size=no report]",0,1675094683,PSE
9800920,275,PSE31213,31213,2023-01-27,2023,1,Protests,Peaceful protest,Protesters (Palestine),Hamas Movement; PIJ: Palestinian Islamic Jihad,6,,,0,60,Middle East,Palestine,Gaza Strip,North Gaza,,Bayt Hanun,31.5353,34.5358,1,Arab 48; Ma'an News Agency; Quds News Network; Twitter,New media-National,"On 27 January 2023, Hamas movement and the PIJ organized a protest in North Gaza (Bayt Hanun, Gaza Strip) in support of the Jenin camp and the resistance in the West Bank. [size=no report]",0,1675094683,PSE
9800942,792,TUR28664,28664,2023-01-27,2023,1,Protests,Peaceful protest,Protesters (Turkey),AKP: Justice and Development Party; Muslim Group (Turkey),6,,,0,60,Middle East,Turkey,Aydin,Soke,,Soke,37.7482,27.4061,1,A Haber,National,"On 27 January 2023, AKP's Youth Branch members staged a demonstration in Soke, Aydin to protest in response to a right-wing politician who earlier set fire to the Quran at a rally outside the Turkish embassy building in Stockholm. [size=no report]",0,1675094683,TUR
9800945,792,TUR28667,28667,2023-01-27,2023,1,Protests,Peaceful protest,Protesters (Turkey),Government of Turkey (2016-); Muslim Group (Turkey),6,,,0,60,Middle East,Turkey,Kayseri,Yahyali,,Yahyali,38.1023,35.3570,1,Beyaz Gazete,National,"On 27 January 2023, a Muslim group staged a demonstration in front of the mosque Yahyali town, Kayseri to protest in response to a right-wing politician who earlier set fire to the Quran at a rally outside the Turkish embassy building in Stockholm. Yahyali's Mayor and the District Governor attended the protest. [size=no report]",0,1675094683,TUR
9800946,792,TUR28668,28668,2023-01-27,2023,1,Protests,Peaceful protest,Protesters (Turkey),Government of Turkey (2016-); Muslim Group (Turkey),6,,,0,60,Middle East,Turkey,Yozgat,Sorgun,,Sorgun,39.8101,35.1860,1,Beyaz Gazete,National,"On 27 January 2023, a Muslim group staged a demonstration at the Sakir Efendi Square in Sorgun town, Yozgat to protest in response to a right-wing politician who earlier set fire to the Quran at a rally outside the Turkish embassy building in Stockholm. The government-appointed District Mufti attended the protest. [size=no report]",0,1675094683,TUR
9800969,792,TUR28691,28691,2023-01-27,2023,1,Protests,Peaceful protest,Protesters (Turkey),YRP: The New Welfare Party,6,,,0,60,Middle East,Turkey,Erzurum,Yakutiye,,Yakutiye,40.0013,41.3100,1,Beyaz Gazete,National,"On 27 January 2023, members and executives of YRP staged a demonstration in front of Lalapasa Mosque in Yakutiye town, Erzurum to protest in response to a right-wing politician who earlier set fire to the Quran at a rally outside the Turkish embassy building in Stockholm. [size=no report]",0,1675094683,TUR
9800990,792,TUR28712,28712,2023-01-27,2023,1,Protests,Peaceful protest,Protesters (Turkey),Muslim Group (Turkey),6,,,0,60,Middle East,Turkey,Sakarya,Adapazari,,Adapazari,40.7771,30.4017,2,Beyaz Gazete,National,"On 27 January 2023, members of a Muslim group staged a demonstration in Adapazari district of Sakarya, to protest in response to a right-wing politician who earlier set fire to the Quran at a rally outside the Turkish embassy building in Stockholm. [size=no report]",0,1675094683,TUR
9800991,792,TUR28713,28713,2023-01-27,2023,1,Protests,Peaceful protest,Protesters (Turkey),Muslim Group (Turkey),6,,,0,60,Middle East,Turkey,Igdir,Igdir,,Igdir,39.9237,44.0450,1,Beyaz Gazete,National,"On 27 January 2023, a Muslim group staged a demonstration at the Belediye Square in Igdir city to protest in response to a right-wing politician who earlier set fire to the Quran at a rally outside the Turkish embassy building in Stockholm. [size=no report]",0,1675094683,TUR
9801024,792,TUR28746,28746,2023-01-27,2023,1,Protests,Peaceful protest,Protesters (Turkey),TGB: Youth Union of Turkey; VP: Patriotic Party; Muslim Group (Turkey),6,,,0,60,Middle East,Turkey,Van,Ipekyolu,,Ipekyolu,38.5535,43.6212,2,Aydinlik,National,"On 27 January 2023, members and executives of VP and the local TGP Branch staged a demonstration at the Hz. Omer Park in Ipekyolu district of Van to protest in response to a right-wing politician who earlier set fire to the Quran at a rally outside the Turkish embassy building in Stockholm. [size=no report]",0,1675094684,TUR
9801025,792,TUR28747,28747,2023-01-27,2023,1,Protests,Peaceful protest,Protesters (Turkey),The Peace Mothers; Women (Turkey); HDP: Peoples Democratic Party; DBP: Democratic Regions Party; Government of Turkey (2016-),6,,,0,60,Middle East,Turkey,Hakkari,Hakkari,,Hakkari,37.5744,43.7408,1,Mezopotamya Agency,National,"On 27 January 2023, members and executives of HDP's Hakkari branch staged a demonstration in front of HDP provincial office in Hakkari city, to protest the prison sentence given to the HDP's Hakkari mayor. HDP Hakkari MP, Peace Mothers and members of DBP attended the protest. [size=no report]",0,1675094684,TUR
9801040,792,TUR28762,28762,2023-01-27,2023,1,Protests,Peaceful protest,Protesters (Turkey),,6,,,0,60,Middle East,Turkey,Bursa,Osmangazi,,Osmangazi,40.2259,29.0439,1,Cumhuriyet,National,"On 27 January 2023, residents of a gated community staged a demonstration in Osmangazi, Bursa to protest the management's decision to increase the maintenance fees by 153%. [size=no report]",0,1675094684,TUR
9801041,792,TUR28763,28763,2023-01-27,2023,1,Protests,Peaceful protest,Protesters (Turkey),,6,,,0,60,Middle East,Turkey,Bursa,Osmangazi,,Osmangazi,40.2259,29.0439,1,Beyaz Gazete,National,"On 27 January 2023, protesters staged a demonstration in front of the Grand Bazaar in Osmangazi town, Bursa, to protest Istanbul Mayor Ekrem Imamoglu, who was visiting Bursa. Ekrem Imamoglu has recently started a tour, where he visit Anatolian cities to explain the injustices he and the opposition are subjected to. [size=no report]",0,1675094684,TUR
9801221,504,MOR6952,6952,2023-01-27,2023,1,Protests,Peaceful protest,Protesters (Morocco),CNPCC: National Coordination of Contractual Teachers; Teachers (Morocco),6,,,0,60,Northern Africa,Morocco,Rabat-Sale-Kenitra,Rabat,Hassan,Rabat,34.0133,-6.8326,1,Lakome,National,"On 27 January 2023, at the call of the National Coordination of Contractual Teachers (CNPCC), teachers held a protest sit-in in front of tribunal of Rabat (Rabat, Rabat-Sale-Kenitra) calling for the liberation of their colleagues during their trial for the participation in protests. [size=no report]",0,1675102875,MAR
9801244,566,NIG29669,29669,2023-01-27,2023,1,Protests,Peaceful protest,Protesters (Nigeria),PDP: People's Democratic Party,6,,,0,60,Western Africa,Nigeria,Osun,Osogbo,,Oshogbo,7.7667,4.5667,1,Daily Champion; New Telegraph,National,"On 27 January 2023, supporters of the PDP protested and marched in their numbers across the streets of Oshogbo (Osogbo, Osun) against the ruling of the election tribunal which sacked the newly sworn in governor. [size=no report]",0,1675102875,NGA
